,dia1,dia2,radius1,radius2,radius3,radius4,radius5,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,judgement
0,10.04,10.1,24.94,31.07,30.06,6.09,19.97,66.21,22.26,36.24,99.84,124.89,179.32,38.13,14.96,22.21,1
1,9.95,9.95,24.96,31.02,30.0,5.91,19.88,66.06,21.75,36.17,100.31,125.15,180.61,37.95,15.08,21.74,1
2,9.68,9.39,25.95,32.03,28.95,6.52,21.15,67.37,21.62,36.13,98.94,126.46,180.46,37.53,14.79,21.37,1
3,10.45,10.88,25.71,32.09,31.0,6.34,20.45,65.3,23.38,37.14,100.93,126.87,181.3,40.21,16.51,22.88,0
4,10.59,8.61,25.24,30.41,29.92,6.19,19.84,65.35,22.62,37.07,99.74,124.11,181.65,38.81,14.65,21.7,0
5,10.89,10.38,26.99,31.34,30.82,7.33,21.32,64.67,23.53,37.02,100.86,126.54,181.45,38.62,16.71,22.63,0
6,9.96,10.07,24.89,30.94,30.19,6.06,19.87,66.11,22.28,35.78,99.59,125.02,180.25,38.18,14.97,21.85,1
7,10.03,9.92,24.93,30.81,29.84,5.93,19.86,65.92,21.81,36.23,99.79,125.2,179.6,37.72,15.15,22.15,1
8,9.9,10.09,24.87,30.93,30.09,6.06,20.19,66.48,21.83,35.82,100.47,125.49,180.18,37.85,15.17,21.85,1
9,8.73,10.92,24.07,31.47,30.56,5.18,18.9,64.69,21.61,35.1,100.0,124.05,180.1,38.05,15.82,22.44,0
10,10.08,9.92,24.96,31.12,30.1,6.02,20.11,65.83,21.95,35.77,100.27,124.92,180.02,37.81,15.12,22.04,1
11,9.92,9.94,25.11,31.02,30.09,6.05,20.08,65.66,21.78,35.93,99.58,125.48,179.97,38.25,14.97,22.15,1
12,9.91,10.09,24.92,31.11,29.83,5.93,20.12,66.01,21.97,36.1,100.01,124.92,180.38,38.05,14.96,21.75,1
13,8.83,10.5,25.87,30.83,29.6,6.06,20.2,67.38,22.79,36.29,98.69,124.23,180.39,39.25,14.29,22.69,0
14,9.98,10.04,25.09,30.86,29.96,5.95,20.0,65.98,22.09,36.11,100.19,125.21,180.38,38.21,15.26,21.76,1
15,9.36,8.68,25.86,30.6,29.82,5.46,20.01,65.83,22.01,36.22,101.15,125.86,180.58,37.58,15.18,21.66,1
16,10.01,10.06,25.19,31.15,29.97,5.98,19.81,65.96,22.25,36.0,100.4,125.0,179.26,37.86,14.71,22.26,1
17,10.44,10.64,26.58,31.29,31.01,7.15,21.69,64.92,23.32,36.69,100.7,126.76,181.57,40.22,16.99,23.68,0
18,10.02,9.97,24.91,30.88,30.1,6.0,20.06,66.46,22.09,36.17,100.36,124.94,179.99,38.19,14.83,22.28,1
19,10.31,10.79,26.25,32.4,31.19,7.34,21.34,65.62,23.27,37.08,101.72,126.08,181.86,39.6,15.84,23.27,0
20,10.06,10.09,25.18,31.18,29.94,6.09,19.86,66.55,22.19,35.97,99.95,125.12,180.68,38.08,15.24,22.21,1
21,9.93,9.97,24.83,30.88,30.18,6.09,20.12,66.4,22.13,35.81,100.33,124.71,180.35,38.03,15.14,21.84,1
22,9.98,10.07,24.94,31.14,30.13,5.92,20.05,66.05,22.11,36.25,99.93,125.28,179.22,37.84,15.23,22.2,1
23,10.98,10.11,25.8,31.39,30.98,6.45,20.48,65.17,22.4,37.57,100.58,126.43,181.42,40.88,15.77,23.27,0
24,10.02,9.94,24.9,30.97,29.99,6.04,19.96,65.78,21.73,36.07,100.09,125.27,179.44,38.14,14.73,21.77,1
25,10.92,10.17,25.85,31.22,30.92,5.63,19.55,64.74,22.96,34.93,99.88,124.06,179.33,37.13,15.89,21.93,1
26,9.97,9.98,25.1,30.89,30.15,6.07,19.83,66.15,21.8,36.25,99.89,125.34,180.44,37.83,15.19,21.97,1
27,8.55,9.64,24.83,30.97,29.59,6.41,20.51,65.55,23.07,37.0,98.57,125.28,180.63,39.16,14.65,22.64,0
28,9.98,9.97,24.9,30.81,29.88,6.09,19.82,66.07,22.17,35.87,100.15,124.64,180.15,37.85,15.25,21.78,1
